6,BPL,Royal Mail 1st/2nd Class
7,BPR,Royal Mail 1st/2nd Class Signed For
8,CRL,Royal Mail 24/ Royal Mail 48 Standard/Signed For (Parcel - Daily Rate Service)
9,DE1,International Business Parcels Zero Sort High Volume Priority
10,DE3,International Business Parcels Zero Sort High Vol Economy
11,DE4,International Business Parcels Zero Srt Low Volume Priority
12,DE6,International Business Parcels Zero Sort Low Vol Economy
13,DG1,International Business Mail Large Letter Country Sort High Volume Priority
14,DG3,International Business Mail Large Letter Ctry Sort High Vol Economy
15,DG4,International Business Mail Large Letter Country Sort Low Volume Priority
16,DG6,International Business Mail Large Letter Ctry Sort Low Vol Economy
17,FS1,Royal Mail 24 Standard/Signed For Large Letter (Flat Rate Service)
18,FS2,Royal Mail 48 Standard/Signed For Large Letter (Flat Rate Service)
19,FS7,Royal Mail 24 (Presorted) (Large Letter)
20,FS8,Royal Mail 48 (Presorted) (Large Letter)
21,IE1,International Business Parcels Zone Sort Priority Service
22,IE3,International Business Parcels Zone Sort Economy Service
23,IG1,International Business Mail Large Letter Zone Sort Priority
24,IG3,International Business Mail Large Letter Zone Sort Economy
25,IG4,International Business Mail Large Letter Zone Sort Priority Machine
26,IG6,International Business Mail Large Letter Zone Srt Economy Machine
27,LA1,Special Delivery Guaranteed By 1PM LA (£500)
28,LA2,Special Delivery Guaranteed By 1PM LA (£1000)
29,LA3,Special Delivery Guaranteed By 1PM LA (£2500)
30,LA4,Special Delivery Guaranteed By 9AM LA (£50)
31,LA5,Special Delivery Guaranteed By 9AM LA (£1000)
32,LA6,Special Delivery Guaranteed By 9AM LA (£2500)
33,MB1,INTL BUS PARCELS PRINT DIRECT PRIORITY
34,MB2,INTL BUS PARCELS PRINT DIRECT STANDARD
35,MB3,INTL BUS PARCELS PRINT DIRECT ECONOMY
36,MP0,International Business Parcels Signed Extra Compensation (Country Pricing)
37,MP1,International Business Parcels Tracked (Zonal Pricing)
38,MP4,International Business Parcels Tracked Extra Comp (Zonal Pricing)
39,MP5,International Business Parcels Signed (Zonal Pricing)
40,MP6,International Business Parcels Signed Extra Compensation (Zonal Pricing)
41,MP7,International Business Parcels Tracked (Country Pricing)
42,MP8,International Business Parcels Tracked Extra Comp (Country Pricing)
43,MP9,International Business Parcels Signed (Country Pricing)
44,MPB,International Business Parcel Tracked Boxable Extra Comp (Country Pricing)
45,MPF,International Business Parcel Tracked High Vol. (Country Pricing)
46,MPG,International Business Parcels Tracked & Signed High Vol. (Country Pricing)
47,MPH,International Business Parcel Signed High Vol. (Country Pricing)
48,MPI,International Business Parcel Tracked High Vol. Extra Comp (Country Pricing)
49,MPJ,International Business Parcels Tracked & Signed High Vol. Extra Comp (Country Pricing)
50,MPK,International Business Parcel Signed High Vol. Extra Comp (Country Pricing)
51,MPL,International Business Mail Tracked High Vol. (Country Pricing)
52,MPM,International Business Mail Tracked & Signed High Vol. (Country Pricing)
53,MPN,International Business Mail Signed High Vol. (Country Pricing)
54,MPO,International Business Mail Tracked High Vol. Extra Comp (Country Pricing)
55,MPP,International Business Mail Tracked & Signed High Vol. Extra Comp (Country Pricing)
56,MPQ,International Business Mail Signed High Vol. Extra Comp (Country Pricing)
57,MPR,International Business Parcel Tracked Boxable (Country Pricing)
58,MPT,International Business Parcel Tracked Boxable High Vol. (Country Pricing)
59,MPU,International Business Parcel Tracked Boxable Extra Comp (Country Pricing)
60,MPV,International Business Parcel Zero Sort Boxable Low Vol. Priority
61,MPW,International Business Parcel Zero Sort Boxable Low Vol. Economy
62,MPX,International Business Parcel Zero Sort Boxable High Vol. Priority
63,MPY,International Business Parcel Zero Sort Boxable High Vol. Economy
64,MTA,International Business Parcels Tracked & Signed (Zonal Pricing)
65,MTB,International Business Parcels Tracked & Signed Extra Compensation (Zonal Pricing)
66,MTC,International Business Mail Tracked & Signed (Zonal Pricing)
67,MTD,International Business Mail Tracked & Signed Extra Compensation (Zonal Pricing)
68,MTE,International Business Parcels Tracked & Signed (Country Pricing)
69,MTF,International Business Parcels Tracked & Signed Extra Compensation (Country Pricing)
70,MTG,International Business Mail Tracked & Signed (Country Pricing)
71,MTH,International Business Mail Tracked & Signed Extra Compensation (Country Pricing)
72,MTI,International Business Mail Tracked (Zonal Pricing)
73,MTJ,International Business Mail Tracked Extra Comp (Zonal Pricing)
